name;description;exc;trade;;;;
;CCTV KITS - HIK VISION  HD-TVI;;;;;;
SP150-5;HIK HD-TVI 4Ch Hi-Res DVR 4 Cam Base Kit;2492.00;2865.80;;;;
SP151-5;HIK HD-TVI 8Ch Hi-Res DVR 8 Cam Base Kit;4475.00;5146.25;;;;
SP152-5;HIK HD-TVI 16Ch HiResDVR 16 Cam Base Kit;7593.00;8731.95;;;;
;;;;;;;
SP150-3;HIK HD-TVI 4 Channel DVR MAXI Kit;5124.00;5892.60;;;;
SP151-3;HIK HD-TVI 8 Ch DVR 8 Camera MAXI Kit;6786.00;7803.90;;;;
SP152-3;HIK HD-TVI 16 Ch DVR 16 Cam MAXI Kit;11379.00;13085.85;;;;
;;;;;;;
;;;;;;;
SP150;HIK HD-TVI 4 Ch Hi-Res DVR Installer Kit;7081.00;8143.15;;;;
SP151;HIK HD-TVI 8 Ch Hi-Res DVR Installer Kit;9111.00;10477.65;;;;
SP152;HIK HD-TVI 16Ch Hi-Res DVR Installer Kit;12791.00;14709.65;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
CC231;SP Cam 1080p in Smoke Detector Housing 4;542.00;623.30;;;;